ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
03-12,3,-1999999998,-1999999998,PASS,Firefox
03-12,3,-1999999998,-1999999998,PASS,Microsoft Edge
03-13,3,0,0,PASS,Google Chrome
03-13,3,0,0,PASS,Firefox
03-13,3,0,0,PASS,Microsoft Edge
03-14,3,0,1,FAIL,Google Chrome
03-14,3,0,1,FAIL,Firefox
03-14,3,0,1,FAIL,Microsoft Edge
03-15,3,0.00000001,1e-8,FAIL,Google Chrome
03-15,3,0.00000001,1e-8,FAIL,Firefox
03-15,3,0.00000001,1e-8,FAIL,Microsoft Edge
03-16,3,0,0,PASS,Google Chrome
03-16,3,0,0,PASS,Firefox
03-16,3,0,0,PASS,Microsoft Edge
03-17,3,0,0,PASS,Google Chrome
03-17,3,0,0,PASS,Firefox
03-17,3,0,0,PASS,Microsoft Edge
03-18,3,1999999998,1999999998,PASS,Google Chrome
03-18,3,1999999998,1999999998,PASS,Firefox
03-18,3,1999999998,1999999998,PASS,Microsoft Edge
03-19,3,-1999999998,-1999999998,PASS,Google Chrome
03-19,3,-1999999998,-1999999998,PASS,Firefox
03-19,3,-1999999998,-1999999998,PASS,Microsoft Edge
03-20,3,-19999999,-1.9999999000000002,FAIL,Google Chrome
03-20,3,-19999999,-1.9999999000000002,FAIL,Firefox
03-20,3,-19999999,-1.9999999000000002,FAIL,Microsoft Edge
03-21,3,-2.1,-2.1,PASS,Google Chrome
03-21,3,-2.1,-2.1,PASS,Firefox
03-21,3,-2.1,-2.1,PASS,Microsoft Edge
03-22,3,0.1,0.10000000000000009,FAIL,Google Chrome
03-22,3,0.1,0.10000000000000009,FAIL,Firefox
03-22,3,0.1,0.10000000000000009,FAIL,Microsoft Edge
03-23,3,NONE,NONE,PASS,Google Chrome
03-23,3,NONE,NONE,PASS,Firefox
03-23,3,NONE,NONE,PASS,Microsoft Edge
03-24,3,NONE,NONE,PASS,Google Chrome
03-24,3,NONE,NONE,PASS,Firefox
03-24,3,NONE,NONE,PASS,Microsoft Edge
03-25,3,0,0,PASS,Google Chrome
03-25,3,0,0,PASS,Firefox
03-25,3,0,0,PASS,Microsoft Edge
03-26,3,3.45,3.45,PASS,Google Chrome
03-26,3,3.45,3.45,PASS,Firefox
03-26,3,3.45,3.45,PASS,Microsoft Edge
03-27,3,-0.1000001,-0.10000010000000001,FAIL,Google Chrome
03-27,3,-0.1000001,-0.10000010000000001,FAIL,Firefox
03-27,3,-0.1000001,-0.10000010000000001,FAIL,Microsoft Edge
03-28,3,-1999999998,-1999999998,PASS,Google Chrome
03-28,3,-1999999998,-1999999998,PASS,Firefox
03-28,3,-1999999998,-1999999998,PASS,Microsoft Edge
03-29,3,0.022,0.022000000000000002,FAIL,Google Chrome
03-29,3,0.022,0.022000000000000002,FAIL,Firefox
03-29,3,0.022,0.022000000000000002,FAIL,Microsoft Edge
03-30,3,10,10,PASS,Google Chrome
03-30,3,10,10,PASS,Firefox
03-30,3,10,10,PASS,Microsoft Edge
03-31,3,0.11,0.11000000000000001,FAIL,Google Chrome
03-31,3,0.11,0.11000000000000001,FAIL,Firefox
03-31,3,0.11,0.11000000000000001,FAIL,Microsoft Edge
03-32,3,0,0,PASS,Google Chrome
03-32,3,0,0,PASS,Firefox
03-32,3,0,0,PASS,Microsoft Edge
03-33,3,10100,10100,PASS,Google Chrome
03-33,3,10100,10100,PASS,Firefox
03-33,3,10100,10100,PASS,Microsoft Edge
03-34,3,2.2,2,FAIL,Google Chrome
03-34,3,2.2,2,FAIL,Firefox
03-34,3,2.2,2,FAIL,Microsoft Edge
03-35,3,NONE,NONE,PASS,Google Chrome
03-35,3,NONE,NONE,PASS,Firefox
03-35,3,NONE,NONE,PASS,Microsoft Edge
03-36,3,NONE,NONE,PASS,Google Chrome
03-36,3,NONE,NONE,PASS,Firefox
03-36,3,NONE,NONE,PASS,Microsoft Edge
03-37,3,11,11,PASS,Google Chrome
03-37,3,11,11,PASS,Firefox
03-37,3,11,11,PASS,Microsoft Edge
03-38,3,9,9,PASS,Google Chrome
03-38,3,9,9,PASS,Firefox
03-38,3,9,9,PASS,Microsoft Edge
03-39,3,0,0,PASS,Google Chrome
03-39,3,0,0,PASS,Firefox
03-39,3,0,0,PASS,Microsoft Edge
03-40,3,0,0,PASS,Google Chrome
03-40,3,0,0,PASS,Firefox
03-40,3,0,0,PASS,Microsoft Edge
03-41,3,NONE,NONE,PASS,Google Chrome
03-41,3,NONE,NONE,PASS,Firefox
03-41,3,NONE,NONE,PASS,Microsoft Edge
03-42,3,0.02,0.02,PASS,Google Chrome
03-42,3,0.02,0.02,PASS,Firefox
03-42,3,0.02,0.02,PASS,Microsoft Edge
03-43,3,500,500,PASS,Google Chrome
03-43,3,500,500,PASS,Firefox
03-43,3,500,500,PASS,Microsoft Edge
03-44,3,-39999999996,-39999999996,PASS,Google Chrome
03-44,3,-39999999996,-39999999996,PASS,Firefox
03-44,3,-39999999996,-39999999996,PASS,Microsoft Edge
03-45,3,NONE,NONE,PASS,Google Chrome
03-45,3,NONE,NONE,PASS,Firefox
03-45,3,NONE,NONE,PASS,Microsoft Edge
03-46,3,0,0,PASS,Google Chrome
03-46,3,0,0,PASS,Firefox
03-46,3,0,0,PASS,Microsoft Edge
03-47,3,0,0,PASS,Google Chrome
03-47,3,0,0,PASS,Firefox
03-47,3,0,0,PASS,Microsoft Edge
03-48,3,1,1,PASS,Google Chrome
03-48,3,1,1,PASS,Firefox
03-48,3,1,1,PASS,Microsoft Edge
03-49,3,-1,-10.000000009,FAIL,Google Chrome
03-49,3,-1,-10.000000009,FAIL,Firefox
03-49,3,-1,-10.000000009,FAIL,Microsoft Edge
03-50,3,9999999990,99999999990,FAIL,Google Chrome
03-50,3,9999999990,99999999990,FAIL,Firefox
03-50,3,9999999990,99999999990,FAIL,Microsoft Edge
03-51,3,,NONE,FAIL,Google Chrome
03-51,3,,NONE,FAIL,Firefox
03-51,3,,NONE,FAIL,Microsoft Edge
03-52,3,A1,NONE,FAIL,Google Chrome
03-52,3,A1,NONE,FAIL,Firefox
03-52,3,A1,NONE,FAIL,Microsoft Edge
03-53,3,10.1,10.1,PASS,Google Chrome
03-53,3,10.1,10.1,PASS,Firefox
03-53,3,10.1,10.1,PASS,Microsoft Edge
03-54,3,10000000000.1,10000000000.1,PASS,Google Chrome
03-54,3,10000000000.1,10000000000.1,PASS,Firefox
03-54,3,10000000000.1,10000000000.1,PASS,Microsoft Edge
03-55,3,1,1,PASS,Google Chrome
03-55,3,1,1,PASS,Firefox
03-55,3,1,1,PASS,Microsoft Edge
03-56,3,0.1111,0.1111,PASS,Google Chrome
03-56,3,0.1111,0.1111,PASS,Firefox
03-56,3,0.1111,0.1111,PASS,Microsoft Edge
03-57,3,ASDASD,NONE,FAIL,Google Chrome
